Frequency (Hz),Ls (H),Rs (Ω)
300000.0000000001,3.77709e-06,0.423036
301558.04286485026,3.7788e-06,0.428614
303124.1773882628,3.78032e-06,0.436142
304698.445594074,3.78206e-06,0.44146
306280.88972437056,3.78371e-06,0.447703
307871.5522406206,3.78543e-06,0.45417
309470.47582481673,3.78707e-06,0.460583
311077.7033806189,3.78867e-06,0.467502
312693.278034506,3.79084e-06,0.474701
314317.2431369336,3.79234e-06,0.481679
315949.64226349717,3.79387e-06,0.488617
317590.5192160992,3.79577e-06,0.496615
319239.9180241282,3.79739e-06,0.504393
320897.8829456376,3.79921e-06,0.512806
322564.4584685342,3.80096e-06,0.521164
324239.6893117714,3.80264e-06,0.52933
325923.6204265495,3.80444e-06,0.538143
327616.2969975226,3.80617e-06,0.546883
329317.764444008,3.80794e-06,0.556071
331028.0684212093,3.80981e-06,0.565464
332747.25482143863,3.81158e-06,0.575401
334475.3697753487,3.81332e-06,0.585498
336212.45965317066,3.81506e-06,0.595343
337958.5710659585,3.81676e-06,0.606322
339713.7508668401,3.81851e-06,0.616752
341478.04615227197,3.8203e-06,0.627874
343251.504263307,3.82206e-06,0.639329
345034.1727868622,3.82362e-06,0.650233
346826.0995569957,3.8254e-06,0.662057
348627.33265619096,3.82705e-06,0.674074
350437.9204166474,3.82875e-06,0.686382
352257.91142157436,3.83034e-06,0.699706
354087.354506499,3.83201e-06,0.712146
355926.2987605741,3.83374e-06,0.725048
357774.7935278955,3.8353e-06,0.73876
359632.8884088268,3.83678e-06,0.752261
361500.63326132955,3.83839e-06,0.76675
363378.0782023024,3.83995e-06,0.781414
365265.2736089226,3.84156e-06,0.796317
367162.27012000233,3.843e-06,0.811304
369069.1186373445,3.8444e-06,0.826573
370985.87032710935,3.8458e-06,0.842437
372912.5766211873,3.84716e-06,0.858191
374849.2892185798,3.84849e-06,0.874464
376796.0600867837,3.84986e-06,0.891865
378752.94146318996,3.85102e-06,0.909476
380719.98585648235,3.85231e-06,0.926289
382697.2460480475,3.8534e-06,0.944691
384684.7750933907,3.85443e-06,0.962506
386682.6263235599,3.85549e-06,0.981311
388690.85334657715,3.85653e-06,1.00005
390709.51004887436,3.85747e-06,1.01899
392738.6505967435,3.8583e-06,1.03839
394778.3294377873,3.8591e-06,1.059
396828.6013023807,3.85988e-06,1.07916
398889.52120513946,3.86053e-06,1.10039
400961.1444463967,3.86151e-06,1.12102
403043.52661368705,3.86253e-06,1.14018
405136.7235832354,3.8636e-06,1.16072
407240.79152146087,3.86457e-06,1.18093
409355.78688648064,3.86556e-06,1.20309
411481.766429626,3.86649e-06,1.22405
413618.7871969647,3.86708e-06,1.24588
415766.90653083293,3.86787e-06,1.26852
417926.18207137025,3.86855e-06,1.29053
420096.67175807146,3.86888e-06,1.31391
422278.433831338,3.86919e-06,1.33814
424471.5268340414,3.86958e-06,1.36182
426676.00961309415,3.86971e-06,1.38543
428891.94132102886,3.86976e-06,1.40984
431119.3814175863,3.86976e-06,1.43475
433358.38967130723,3.86965e-06,1.46083
435609.0261611417,3.86935e-06,1.4859
437871.3512780573,3.86906e-06,1.5127
440145.42572666093,3.86866e-06,1.53828
442431.3105268271,3.86793e-06,1.56602
444729.0670153368,3.86736e-06,1.59305
447038.7568475192,3.86653e-06,1.62062
449360.44199891173,3.86548e-06,1.64944
451694.18476691947,3.86436e-06,1.67777
454040.0477724875,3.86327e-06,1.70647
456398.0939617813,3.86204e-06,1.73604
458768.3866078759,3.86044e-06,1.76664
461150.9893124542,3.85879e-06,1.79619
463545.96600751043,3.85734e-06,1.82571
465953.3809570707,3.85534e-06,1.85821
468373.29875891394,3.8534e-06,1.88937
470805.7843463061,3.85133e-06,1.92036
473250.9029897426,3.84914e-06,1.95365
475708.72029869945,3.84666e-06,1.98496
478179.3022233951,3.84404e-06,2.01817
480662.7150565557,3.84151e-06,2.05144
483159.02543520025,3.83869e-06,2.08513
485668.30034242454,3.83552e-06,2.1191
488190.6071091992,3.83256e-06,2.15382
490726.01341617707,3.82925e-06,2.18728
493274.5872955096,3.82573e-06,2.22266
495836.39713266847,3.82245e-06,2.25695
498411.51166828704,3.81832e-06,2.29322
501000.00000000023,3.81518e-06,2.32943
